name,gender,City,State,Age,charges
rajkumar,m,Pilibhit,Uttar Pradesh,54,Fraud
hemlata,f,Kolhapur,Maharashtra,23,Attempt to murder (Sec 307)
pardeep kumar,m,Haora,West Bengal,61,"Waging war against the Government (Sec 121), Breach of contract, Kidnapping (Sec 363–369)"
mukesh kumar,m,Cuttack,Odisha,21,Bigamy (Sec 494)
omprakash pandit,m,Raichur,Karnataka,66,"Dowry death (Sec 304B), Sexual offences against children (POSCO Act), Waging war against the Government (Sec 121)"
sanju bai,f,Karur,Tamil Nadu ,27,"Murder (Sec 302), Civil contempt, Hacking"
jahid,m,Mahabubnagar,Telangana,60,"Cheating (Sec 415), Consumer complaints, Rape (Sec 376)"
rahul tiwari,m,Chanda,Maharashtra,47,"Hacking, Dowry death (Sec 304B)"
dharam bir,m,Port Blair,Andaman and Nicobar Islands,60,"Property disputes, Sedition (Sec 124A)"
tabassum,f,Kakinada,Andhra Pradesh,50,"Cheating (Sec 415), Violation of traffic signals"
sofali,m,Tiruchchirappalli,Tamil Nadu ,21,Pollution Control Board violations
jyoti,f,Bhiwani,Haryana,66,"Atrocities against SC/ST (SC/ST Act), Divorce and matrimonial issues"
deepak,m,Tirunelveli,Tamil Nadu ,68,Forgery (Sec 463)
hansraj,m,Nellore,Andhra Pradesh,48,Breach of contract
smt leela,f,Guwahati,Assam,73,Abetment of suicide (Sec 306)
vijender,m,Rajkot,Gujarat,58,Hacking
annu kumari,f,Bulandshahr,Uttar Pradesh,72,"Rape (Sec 376), Atrocities against SC/ST (SC/ST Act), Assault (Sec 351)"
rakhi,f,Calicut,Kerala,25,Theft (Sec 378)
rachna,f,Panipat,Haryana,64,"Dowry death (Sec 304B), Criminal breach of trust (Sec 405), Attempt to murder (Sec 307)"
sonu,m,Muzaffarpur,Bihar,21,Environmental violations (EPA)
pawan kumar,m,Kohima,Nagaland,22,Rape (Sec 376)
vikesh,m,Diu,Daman and Diu,51,"Illegal possession or use of arms (Arms Act), Civil contempt"
mohit chouhan,m,Hisar,Haryana,26,"Partition suits, Money laundering (PMLA)"
seema,f,Hisar,Haryana,26,"Atrocities against SC/ST (SC/ST Act), Rape (Sec 376)"
purva,f,Coimbatore,Tamil Nadu ,40,Cyber stalking
parmeshwari,f,Dindigul,Tamil Nadu ,45,"Criminal contempt, Breach of contract"
anita,f,Silvassa,Dadra and Nagar Haveli,79,"Abetment of suicide (Sec 306), Adultery (Sec 497 now decriminalized)"
pooja mahli,f,Tezpur,Assam,80,"Forgery (Sec 463), Counterfeiting currency (Sec 489A), Theft (Sec 378)"
mukesh,m,Patiala,Punjab,58,Money laundering (PMLA)
gagan kumar,m,Mumbai,Maharashtra,54,Drunk driving
bharti,f,Ghaziabad,Uttar Pradesh,20,"Overspeeding, Rape (Sec 376)"
meena,f,Rampura,Rajasthan,34,"Pollution Control Board violations, Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Data theft"
manish kumar_1.0,m,Ghaziabad,Uttar Pradesh,26,"Criminal contempt, Property disputes"
seema_1.0,f,Muzaffarpur,Bihar,60,Cheating (Sec 415)
kokila,f,Shillong ,Meghalaya,55,"Criminal contempt, Adultery (Sec 497 now decriminalized), Waging war against the Government (Sec 121)"
raju,m,Silchar,Assam,48,Partition suits
hina kanwar,f,Hata,Uttar Pradesh,51,Criminal contempt
nisha,f,Ludhiana,Punjab,70,"Concealing intent to wage war (Sec 123), Environmental violations (EPA)"
kiran devi,f,Vellore,Tamil Nadu ,52,"Sexual offences against children (POSCO Act), Property disputes"
sona sarkar,f,Kolkata ,West Bengal,36,"Bigamy (Sec 494), Consumer complaints"
sukhram,m,Pilibhit,Uttar Pradesh,62,"Waging war against the Government (Sec 121), Theft (Sec 378), Drunk driving"
sagar,m,Bilaspur,Chhattisgarh,32,"Land encroachment, Cyber stalking, Money laundering (PMLA)"
ansh,m,Chennai,Tamil Nadu ,66,Atrocities against SC/ST (SC/ST Act)
aditi,f,Nagercoil,Tamil Nadu ,21,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Violation of traffic signals, Murder (Sec 302)"
sharmili,f,Jaipur,Rajasthan,71,Theft (Sec 378)
heena,f,Hubli,Karnataka,21,Data theft
vipan,m,Amaravati,Maharashtra,44,"Hacking, Civil contempt, Cheating (Sec 415)"
ranjana,f,Bulandshahr,Uttar Pradesh,25,"Money laundering (PMLA), Driving without a license, Criminal breach of trust (Sec 405)"
saurabh,m,Bijapur,Karnataka,74,"Concealing intent to wage war (Sec 123), Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Attempt to murder (Sec 307)"
meena_1.0,f,Pilibhit,Uttar Pradesh,23,Online harassment
shusila devi,f,Ratlam,Madhya Pradesh,45,"Kidnapping (Sec 363–369), Cyber stalking, Criminal breach of trust (Sec 405)"
laxmi_1.0,f,Alwar,Rajasthan,65,"Rape (Sec 376), Forgery (Sec 463), Dowry death (Sec 304B)"
vinod dass,m,Tuticorin,Tamil Nadu ,23,"Cruelty by husband or relatives (Sec 498A), Illegal possession or use of arms (Arms Act), Dowry death (Sec 304B)"
shankar lal,m,Kolar,Karnataka,70,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Unlawful activities (UAPA)"
siddhi dubey,f,Raipur,Chhattisgarh,72,"Robbery (Sec 392), Waging war against the Government (Sec 121), Dacoity (Sec 395)"
smt kavita,f,Gangtok,Sikkim,66,Criminal contempt
panchi,f,Chikka Mandya,Karnataka,37,Hacking
pooja_3.0,f,Ajmer,Rajasthan,59,"Assault (Sec 351), Consumer complaints"
rubal khurana,m,Guwahati,Assam,63,Civil contempt
surinder kumar,m,Kavaratti,Lakshadweep,60,"Land encroachment, Property disputes"
sadik ali,m,Kagaznagar,Andhra Pradesh,23,"Cyber stalking, Forgery (Sec 463), Atrocities against SC/ST (SC/ST Act)"
pooja_4.0,f,Cuttack,Odisha,40,"Rape (Sec 376), Extortion (Sec 383)"
noni,f,Hapur,Uttar Pradesh,53,Criminal contempt
raud ali,m,Bamanpuri,Uttar Pradesh,36,"Breach of contract, Illegal possession or use of arms (Arms Act), Sedition (Sec 124A)"
gawri devi,f,Jamshedpur,Jharkhand,74,"Bigamy (Sec 494), Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
kumari rani,f,Amritsar,Punjab,66,Money laundering (PMLA)
arjun singh,m,Saharanpur,Uttar Pradesh,37,"Hacking, Sexual offences against children (POSCO Act)"
guddi,f,Ambala,Haryana,49,"Robbery (Sec 392), Consumer complaints"
kajal,f,Mysore,Karnataka,21,Kidnapping (Sec 363–369)
rahul singh,m,Bhiwani,Haryana,66,Driving without a license
vijay kumar,m,Hapur,Uttar Pradesh,79,Online harassment
suresh kumar,m,Hubli,Karnataka,77,Dacoity (Sec 395)
rihana,f,Belgaum,Karnataka,79,"Money laundering, Online harassment, Assault (Sec 351)"
monika,f,Itanagar,Arunachal Pradesh,67,"Murder (Sec 302), Online harassment"
narayan singh,m,Kagaznagar,Andhra Pradesh,60,Waging war against the Government (Sec 121)
kiran yadav,f,Bhiwandi,Maharashtra,42,"Overspeeding, Fraud, Theft (Sec 378)"
akash,m,Mathura,Uttar Pradesh,20,Cheating (Sec 415)
saranjeet singh,m,Dispur,Assam,57,"Land encroachment, Consumer complaints"
beena devi,f,Haora,West Bengal,38,"Money laundering, Criminal misappropriation (Sec 403)"
gouri shankar,m,Jabalpur,Madhya Pradesh,31,"Property disputes, Money laundering (PMLA)"
kiran,f,Pali,Rajasthan,26,Money laundering (PMLA)
krishan,f,Vellore,Tamil Nadu ,64,Dowry death (Sec 304B)
monu,m,Sikar,Rajasthan,66,"Hacking, Driving without a license"
amarchand,m,Muzaffarpur,Bihar,27,"Child custody, Criminal contempt"
हेमराज,m,Meerut,Uttar Pradesh,76,"Counterfeiting currency (Sec 489A), Data theft"
dular,m,Jaipur,Rajasthan,58,"Breach of contract, Robbery (Sec 392)"
poonam kewat,f,Silchar,Assam,20,Extortion (Sec 383)
roop chand,m,Bhagalpur,Bihar,44,Atrocities against SC/ST (SC/ST Act)
akshat baliyan,m,Jorapokhar,Jharkhand,43,"Kidnapping (Sec 363–369), Sexual offences against children (POSCO Act)"
saroj,f,Silchar,Assam,54,"Dowry death (Sec 304B), Fraud"
raju_1.0,m,Cuttack,Odisha,79,"Partition suits, Culpable homicide (Sec 304)"
km nisha,f,Latur,Maharashtra,73,"Sedition (Sec 124A), Dowry death (Sec 304B)"
anil kumar,m,Talcher,Odisha,53,"Partition suits, Murder (Sec 302)"
zina kumari,f,Rajapalaiyam,Tamil Nadu ,45,Cheating (Sec 415)
naveen,m,Guntur,Andhra Pradesh,42,Environmental violations (EPA)
suraj puri,m,DehraDun,Uttarakhand,71,"Assault (Sec 351), Bigamy (Sec 494)"
ram dayal,m,Panaji,Goa,72,Kidnapping (Sec 363–369)
chando,f,Nanded,Maharashtra,59,Money laundering (PMLA)
kisori lal,m,Muzaffarpur,Bihar,75,"Criminal misappropriation (Sec 403), Dacoity (Sec 395), Theft (Sec 378)"
ratni@jasoda,f,Bellary,Karnataka,28,"Hacking, Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Dacoity (Sec 395)"
rukhsar,f,Alipurduar,West Bengal,25,"Money laundering, Concealing intent to wage war (Sec 123)"
komal,f,Rampura,Rajasthan,41,"Violation of traffic signals, Cyber stalking, Data theft"
gulshan,f,Tezpur,Assam,40,"Waging war against the Government (Sec 121), Child custody, Forgery (Sec 463)"
aniket,m,Hyderabad,Telangana,35,"Fraud, Cheating (Sec 415)"
deepa,f,Itanagar,Arunachal Pradesh,70,"Driving without a license, Divorce and matrimonial issues"
khusbu,f,Gurugram,Haryana,50,"Extortion (Sec 383), Theft (Sec 378), Cruelty by husband or relatives (Sec 498A)"
komal_1.0,f,Gaya,Bihar,51,"Property disputes, Hacking"
pooja_5.0,f,Kolkata ,West Bengal,72,Kidnapping (Sec 363–369)
mansi,f,Krishnanagar,West Bengal,46,Land encroachment
seeta bai,f,Khanapur,Maharashtra,80,"Civil contempt, Cyber stalking"
miss meena,f,Aligarh,Uttar Pradesh,29,"Sexual offences against children (POSCO Act), Money laundering (PMLA)"
रेखा शंकर,m,Hata,Uttar Pradesh,48,"Cruelty by husband or relatives (Sec 498A), Money laundering (PMLA), Property disputes"
rajkumar_1.0,m,Jamshedpur,Jharkhand,74,"Money laundering, Fraud"
sheelu,f,Aurangabad,Maharashtra,52,Robbery (Sec 392)
chanchal,f,Alipurduar,West Bengal,25,"Culpable homicide (Sec 304), Consumer complaints, Civil contempt"
gorv sharma,m,Ongole,Andhra Pradesh,42,"Dowry death (Sec 304B), Money laundering, Drunk driving"
anamol modi,m,Amritsar,Punjab,23,"Money laundering (PMLA), Drunk driving, Culpable homicide (Sec 304)"
komal sharma,f,Puducherry,Puducherry,28,"Cyber stalking, Data theft"
santosh,f,Gurugram,Haryana,60,"Abetment of suicide (Sec 306), Murder (Sec 302), Environmental violations (EPA)"
dharamveer,m,Nandyal,Andhra Pradesh,39,Criminal breach of trust (Sec 405)
sahna parveen,f,Rampura,Rajasthan,27,"Pollution Control Board violations, Theft (Sec 378), Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
azad ali,m,Muzaffarnagar,Uttar Pradesh,78,"Fraud, Pollution Control Board violations, Cheating (Sec 415)"
anil kumar_1.0,m,Mangalore,Karnataka,29,"Criminal breach of trust (Sec 405), Land encroachment"
mahender sharma,m,Belgaum,Karnataka,56,Theft (Sec 378)
karan singh,m,Aurangabad,Bihar,39,"Kidnapping (Sec 363–369), Child custody"
manoj kumar,m,Alwar,Rajasthan,48,"Bigamy (Sec 494), Driving without a license"
rima khan,f,Nizamabad,Telangana,71,"Cruelty by husband or relatives (Sec 498A), Online harassment, Theft (Sec 378)"
tohmeena,f,Kolar,Karnataka,46,"Partition suits, Unlawful activities (UAPA)"
nikhil,m,Vizianagaram,Andhra Pradesh,29,"Counterfeiting currency (Sec 489A), Property disputes, Hacking"
reena,f,Nanded,Maharashtra,69,"Money laundering, Robbery (Sec 392)"
arjun,m,Gulbarga,Karnataka,34,Cruelty by husband or relatives (Sec 498A)
pradeep,m,Gangtok,Sikkim,53,Sexual offences against children (POSCO Act)
charan singh,m,Bhusaval,Maharashtra,63,"Abetment of suicide (Sec 306), Online harassment"
kanku,f,Saidapur,Uttar Pradesh,24,Breach of contract
dana ram,m,Porbandar,Gujarat,28,Money laundering
ashok jarwal,m,Kollam,Kerala,64,Hacking
satish,m,Panchkula,Haryana,35,"Atrocities against SC/ST (SC/ST Act), Overspeeding, Criminal contempt"
bironica ekka,f,Kagaznagar,Andhra Pradesh,23,Hacking
puranmal,m,Abohar,Punjab,80,Extortion (Sec 383)
shri manoj,m,Bidar,Karnataka,45,Data theft
salim,m,Saidpur,Jammu and Kashmir,64,Sedition (Sec 124A)
kanchan,f,Sangli,Maharashtra,76,"Civil contempt, Hacking, Cruelty by husband or relatives (Sec 498A)"
pooja_6.0,f,Patna,Bihar,41,Hacking
avid,m,Ramagundam,Telangana,39,"Waging war against the Government (Sec 121), Criminal misappropriation (Sec 403), Drunk driving"
fija khan,f,Haripur,Punjab,80,"Consumer complaints, Robbery (Sec 392)"
sudha,f,Bharatpur,Rajasthan,80,"Pollution Control Board violations, Concealing intent to wage war (Sec 123), Culpable homicide (Sec 304)"
jyoti bai,f,Ahmedabad,Gujarat,58,Partition suits
sumitra,f,Pilibhit,Uttar Pradesh,38,"Attempt to murder (Sec 307), Sedition (Sec 124A), Partition suits"
anjali,f,Hata,Uttar Pradesh,22,"Consumer complaints, Fraud, Dowry death (Sec 304B)"
kajal_1.0,f,Panchkula,Haryana,45,Property disputes
rukhsana khatun,f,Kurnool,Andhra Pradesh,62,Criminal contempt
om prakash,m,Vadodara,Gujarat,71,Dowry death (Sec 304B)
nipam,f,Kolkata ,West Bengal,29,Cruelty by husband or relatives (Sec 498A)
reshma,f,Guwahati,Assam,77,Assault (Sec 351)
hansraj meena,m,Jabalpur,Madhya Pradesh,45,"Criminal breach of trust (Sec 405), Property disputes"
raju_2.0,m,Jammu,Jammu and Kashmir,41,"Cyber stalking, Adultery (Sec 497 now decriminalized)"
soniya,f,Firozabad,Uttar Pradesh,60,Sexual offences against children (POSCO Act)
pradeep aggarwal,m,Hapur,Uttar Pradesh,61,"Unlawful activities (UAPA), Partition suits"
ku rube,f,Nanded,Maharashtra,60,Atrocities against SC/ST (SC/ST Act)
sanjay,m,Rajahmundry,Andhra Pradesh,67,"Attempt to murder (Sec 307), Online harassment, Counterfeiting currency (Sec 489A)"
alka,f,Bhavnagar,Gujarat,76,"Concealing intent to wage war (Sec 123), Data theft, Bigamy (Sec 494)"
vijay kumar_1.0,m,Allahabad,Uttar Pradesh,70,"Unlawful activities (UAPA), Civil contempt, Theft (Sec 378)"
ravinder kumar,m,Muzaffarpur,Bihar,25,"Extortion (Sec 383), Data theft"
neeraj,m,Sangli,Maharashtra,78,"Waging war against the Government (Sec 121), Adultery (Sec 497 now decriminalized), Pollution Control Board violations"
bimla,f,Malegaon Camp,Maharashtra,20,"Attempt to murder (Sec 307), Abetment of suicide (Sec 306)"
robi,f,Patiala,Punjab,68,Violation of traffic signals
manmeet kaur,f,Tharati Etawah,Uttar Pradesh,39,"Violation of traffic signals, Kidnapping (Sec 363–369), Dacoity (Sec 395)"
maisan,m,Belgaum,Karnataka,75,Theft (Sec 378)
minakshi,f,Salem,Tamil Nadu ,51,"Money laundering (PMLA), Hacking, Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
mona,f,Kolar,Karnataka,58,"Waging war against the Government (Sec 121), Criminal misappropriation (Sec 403), Civil contempt"
almina,f,Krishnanagar,West Bengal,78,"Online harassment, Abetment of suicide (Sec 306), Criminal misappropriation (Sec 403)"
chote,m,Ahmadnagar,Maharashtra,39,"Forgery (Sec 463), Criminal contempt"
ruksar,f,Raichur,Karnataka,22,"Partition suits, Rape (Sec 376)"
nuraish,f,Saugor,Madhya Pradesh,40,"Rape (Sec 376), Violation of traffic signals, Hacking"
mamta,f,Mangalore,Karnataka,49,"Fraud, Driving without a license"
deepa_1.0,f,Tiruchchirappalli,Tamil Nadu ,52,Criminal misappropriation (Sec 403)
sarla,f,Mirzapur,Uttar Pradesh,61,Abetment of suicide (Sec 306)
shakib,m,Porbandar,Gujarat,57,"Adultery (Sec 497 now decriminalized), Drunk driving, Criminal misappropriation (Sec 403)"
vishal srivastav,m,Saidpur,Jammu and Kashmir,63,"Waging war against the Government (Sec 121), Partition suits, Online harassment"
kunal sharma,m,Kolkata ,West Bengal,40,"Environmental violations (EPA), Dacoity (Sec 395)"
versha chandera,f,Cuttack,Odisha,68,"Abetment of suicide (Sec 306), Driving without a license, Bigamy (Sec 494)"
ajay,m,Kavaratti,Lakshadweep,50,Overspeeding
surender@mannu,m,Bhiwandi,Maharashtra,44,"Waging war against the Government (Sec 121), Rape (Sec 376), Money laundering"
priyanka,f,DehraDun,Uttarakhand,33,"Murder (Sec 302), Drunk driving"
hansraj_1.0,m,Ongole,Andhra Pradesh,50,Criminal misappropriation (Sec 403)
neelam,f,Ongole,Andhra Pradesh,36,"Consumer complaints, Criminal contempt, Data theft"
smt. pooja,m,Muzaffarpur,Bihar,53,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Pollution Control Board violations, Cyber stalking"
dimpal,f,Diu,Daman and Diu,56,"Money laundering, Dacoity (Sec 395)"
neha,f,Kakinada,Andhra Pradesh,46,"Extortion (Sec 383), Waging war against the Government (Sec 121), Bigamy (Sec 494)"
rambharos,m,Ahmedabad,Gujarat,25,Kidnapping (Sec 363–369)
jamshed,m,Kolar,Karnataka,42,Waging war against the Government (Sec 121)
renu,f,Bilaspur,Chhattisgarh,22,Cruelty by husband or relatives (Sec 498A)
munni,f,Nizamabad,Telangana,65,"Cyber stalking, Dacoity (Sec 395)"
ramkumar,m,Malegaon Camp,Maharashtra,71,Dacoity (Sec 395)
km priyanka,f,Shimla,Himachal Pradesh,31,"Environmental violations (EPA), Kidnapping (Sec 363–369), Abetment of suicide (Sec 306)"
baggusingh,m,Raurkela,Odisha,46,"Waging war against the Government (Sec 121), Theft (Sec 378), Dowry death (Sec 304B)"
phakir  chand,m,Bhagalpur,Bihar,24,"Money laundering, Rape (Sec 376), Fraud"
laxmi_2.0,f,Tharati Etawah,Uttar Pradesh,72,"Adultery (Sec 497 now decriminalized), Sexual offences against children (POSCO Act), Divorce and matrimonial issues"
santosh kuumar,m,Ajmer,Rajasthan,32,Concealing intent to wage war (Sec 123)
kumari usha,f,Varanasi,Uttar Pradesh,24,Money laundering (PMLA)
saroj verma,f,Kochi,Kerala,20,"Partition suits, Civil contempt"
lalita,f,Parbhani,Maharashtra,48,Assault (Sec 351)
shanti devi,f,Hapur,Uttar Pradesh,34,Rape (Sec 376)
sunil kumar,m,Machilipatnam,Andhra Pradesh,69,"Sexual offences against children (POSCO Act), Breach of contract, Forgery (Sec 463)"
jeeshan khan,m,Khanapur,Maharashtra,41,"Violation of traffic signals, Environmental violations (EPA), Forgery (Sec 463)"
sabana@moni,f,Alipurduar,West Bengal,35,"Culpable homicide (Sec 304), Extortion (Sec 383)"
rani,f,Purnea,Bihar,44,Cyber stalking
suresh,m,Navsari,Gujarat,43,"Data theft, Child custody, Divorce and matrimonial issues"
anita_1.0,f,Hospet,Karnataka,43,"Murder (Sec 302), Sexual offences against children (POSCO Act), Waging war against the Government (Sec 121)"
shilpi,f,Jaipur,Rajasthan,65,"Kidnapping (Sec 363–369), Sedition (Sec 124A), Adultery (Sec 497 now decriminalized)"
sunil kumar_1.0,m,Karnal,Haryana,65,"Theft (Sec 378), Cyber stalking"
neetu kumari,f,Gwalior,Madhya Pradesh,50,"Drunk driving, Breach of contract"
rita rani,f,Sirsa,Haryana,50,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Property disputes, Cyber stalking"
sh rajendr,m,Gangtok,Sikkim,37,"Kidnapping (Sec 363–369), Money laundering"
abdul miya,m,Lucknow,Uttar Pradesh,65,"Cruelty by husband or relatives (Sec 498A), Pollution Control Board violations, Civil contempt"
prem lata,f,Asansol,West Bengal,28,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Abetment of suicide (Sec 306), Fraud"
poonam,f,Rajkot,Gujarat,70,"Drunk driving, Criminal breach of trust (Sec 405)"
sadhna,f,Imphal,Manipur,22,"Criminal misappropriation (Sec 403), Unlawful activities (UAPA)"
vaishali_1.0,f,Cuddalore,Tamil Nadu ,47,"Divorce and matrimonial issues, Money laundering, Robbery (Sec 392)"
surjeet singh,m,Pilibhit,Uttar Pradesh,64,"Cheating (Sec 415), Fraud, Drunk driving"
ruksana,f,Varanasi,Uttar Pradesh,54,"Money laundering, Criminal contempt, Cruelty by husband or relatives (Sec 498A)"
kunal mayank,m,Tezpur,Assam,65,Overspeeding
aarti,f,Bhagalpur,Bihar,49,"Partition suits, Driving without a license, Data theft"
seema_2.0,f,Varanasi,Uttar Pradesh,60,"Property disputes, Kidnapping (Sec 363–369), Land encroachment"
surender,m,Bhopal ,Madhya Pradesh,54,"Abetment of suicide (Sec 306), Illegal possession or use of arms (Arms Act)"
vijay anadn,m,Raichur,Karnataka,43,"Partition suits, Online harassment, Concealing intent to wage war (Sec 123)"
noore alam,m,Hyderabad,Telangana,25,Sedition (Sec 124A)
reshma kami,f,Saidapur,Uttar Pradesh,47,"Forgery (Sec 463), Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Theft (Sec 378)"
neelam_1.0,f,Panaji,Goa,48,"Land encroachment, Environmental violations (EPA)"
jamshed_1.0,m,Hapur,Uttar Pradesh,46,"Drunk driving, Cruelty by husband or relatives (Sec 498A), Data theft"
lalita devi,f,Patna,Bihar,63,Extortion (Sec 383)
shivalika,f,Purnea,Bihar,68,"Dacoity (Sec 395), Waging war against the Government (Sec 121), Unlawful activities (UAPA)"
jyoti_1.0,f,Surat,Gujarat,54,Overspeeding
sonu_1.0,m,Sirsa,Haryana,46,"Money laundering, Criminal contempt, Illegal possession or use of arms (Arms Act)"
shiwani,f,Itanagar,Arunachal Pradesh,33,Property disputes
asha,f,Aligarh,Uttar Pradesh,48,Attempt to murder (Sec 307)
pooja_7.0,f,Ongole,Andhra Pradesh,70,"Bigamy (Sec 494), Drunk driving"
deepu kumar,m,Shahbazpur,Uttar Pradesh,74,Sexual offences against children (POSCO Act)
asha_1.0,f,Pathankot,Punjab,63,Money laundering
amot,m,Davangere,Karnataka,37,"Culpable homicide (Sec 304), Child custody"
kiran_1.0,f,Bengaluru,Karnataka,80,"Breach of contract, Overspeeding, Rape (Sec 376)"
deepak_1.0,m,Mahabubnagar,Telangana,32,Sedition (Sec 124A)
sonu_2.0,m,Rajkot,Gujarat,37,"Civil contempt, Cheating (Sec 415)"
priyanka_1.0,f,Ghandinagar,Gujarat,71,"Concealing intent to wage war (Sec 123), Sexual offences against children (POSCO Act)"
shabnam,f,Warangal,Telangana,39,Extortion (Sec 383)
ramswrup bhatya,m,Jamshedpur,Jharkhand,67,"Counterfeiting currency (Sec 489A), Divorce and matrimonial issues"
manju devi,f,Tharati Etawah,Uttar Pradesh,25,Kidnapping (Sec 363–369)
sima bai,f,Talcher,Odisha,56,"Murder (Sec 302), Bigamy (Sec 494)"
pankaj chaudhary,m,Amaravati,Maharashtra,64,Concealing intent to wage war (Sec 123)
sandeep goyal,m,Daman,Daman and Diu,73,Adultery (Sec 497 now decriminalized)
